year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live


2011,Big Artists,Roberto Vecchioni,Chiamami ancora amore,1,25,111770,48.34,https://www.youtube.com/watch?v=P5mgQ7Sk2Gw,https://www.youtube.com/watch?v=z8L-84d84yM
2011,Big Artists,Giusy Ferreri,Il mare immenso,10,10,9294,,https://www.youtube.com/watch?v=ZyUQTERXgSE,https://www.youtube.com/watch?v=tBQjiImNyp0
2011,Big Artists,Nathalie,Vivo sospesa,7,8,21119,,https://www.youtube.com/watch?v=kc54yZhHJFM,https://www.youtube.com/watch?v=BXzhluiZH68
2011,Big Artists,Modà & Emma,Arriverà,2,12,107318,39.88,https://www.youtube.com/watch?v=g1vveTJN8Do,https://www.youtube.com/watch?v=qe7d5S48TM4
2011,Big Artists,Luca Barbarossa & Raquel del Rosario,Fino in fondo,8,1,42155,,https://www.youtube.com/watch?v=CREXqXjy9Gg,https://www.youtube.com/watch?v=TofcUs0zJPs
2011,Big Artists,Luca Madonia & Franco Battiato,L'alieno,5,12,16026,,https://www.youtube.com/watch?v=a_IWMlL6_zs,https://www.youtube.com/watch?v=7nQyiAUMixM
2011,Big Artists,Max Pezzali,Il mio secondo tempo,,,,,https://www.youtube.com/watch?v=Yk-afFcb0dA,https://www.youtube.com/watch?v=B6d02SyoPcU
2011,Big Artists,La crus,Io confesso,6,17,15273,,https://www.youtube.com/watch?v=uUC6nRtT5JA,https://www.youtube.com/watch?v=-Ukb5zR6ek8
2011,Big Artists,Tricarico,Tre colori,,,,,https://www.youtube.com/watch?v=hM4B3Id6BNA,https://www.youtube.com/watch?v=2xtaMTiYerM
2011,Big Artists,Davide van de Sfroos,Yanez,4,7,51300,,https://www.youtube.com/watch?v=Tv1gjOpxbWs,https://www.youtube.com/watch?v=QGVi-Z8w7BY
2011,Big Artists,Al Bano,Amanda è libera,3,23,32232,11.77,https://www.youtube.com/watch?v=vEuEpS36pds,https://www.youtube.com/watch?v=Yy4fXxPDDhg
2011,Big Artists,Patty Pravo,Il vento e le rose,,,,,https://www.youtube.com/watch?v=SQRDXLbGkWA,https://www.youtube.com/watch?v=Vp74NulaX08
2011,Big Artists,Anna Oxa,La mia anima d'uomo,,,,,https://www.youtube.com/watch?v=PjXAPFC_yho,https://www.youtube.com/watch?v=jIK_UNFaSp4
2011,Big Artists,Anna Tatangelo,Bastardo,9,5,31495,,https://www.youtube.com/watch?v=hGEE_syO7_g,https://www.youtube.com/watch?v=anz_JzGxgZw


2012,Big Artists,Emma Marrone,Non è l'inferno,1,,,,https://www.youtube.com/watch?v=pMzNxA81qmE,https://www.youtube.com/watch?v=8pkYbp9G8J8
2012,Big Artists,Arisa,La notte,2,,,,https://www.youtube.com/watch?v=PWu71JMwGWE,https://www.youtube.com/watch?v=pjSVeTdUzJg
2012,Big Artists,Noemi,Sono solo parole,3,,,,https://www.youtube.com/watch?v=HPVSB8kOWrM,https://www.youtube.com/watch?v=0Su-4HPJwHo
2012,Big Artists,Gigi D'Alessio & Loredana Bertè,Respirare,4,,,,https://www.youtube.com/watch?v=8gAfzNC2YKI,
